count,ph,k,p,n
1,6.4,1,0,0
2,6.4,0,0,0
3,6.4,0,0,0
4,6.4,0,0,0
5,6.8,0,0,0
6,6.4,0,0,0
7,6.4,1,1,0
8,6.4,1,1,0
9,6.4,0,0,0
10,6.4,0,0,0
11,5.8,1,0,0
12,6.8,0,0,0
13,5.8,0,0,0
14,5.8,0,1,0
15,6.8,0,0,0
16,6.8,1,0,0
17,5.8,1,0,0
18,5.8,1,1,1
19,6.4,0,0,0
20,6.4,0,2,0
21,6.4,0,2,0
22,6.4,0,2,0
23,6.4,0,2,0
24,7.2,0,0,0
25,7.2,0,2,0
26,7.2,0,2,0
27,6.8,0,1,0
28,6.8,1,0,0
29,6.8,0,2,0
30,6.8,0,2,0
31,7.2,1,1,0
32,6.8,0,2,0
33,7.2,0,2,0
34,6.8,0,0,0
35,6.4,1,0,0
36,7.2,1,2,0
37,7.2,0,2,0
38,6.4,0,0,0
39,6.4,1,2,0
40,6.4,0,2,0
41,,1,2,0
42,6.4,0,2,0
43,6.4,0,2,0
44,6.8,0,2,0
45,6.4,0,2,0
46,6.4,0,2,0
47,,0,2,0
48,6.4,1,1,0
49,6.4,0,2,0
50,6.4,0,2,0
51,6.4,0,2,0
52,6.4,0,2,0
53,6.4,0,2,0
54,6.4,0,2,0
55,6.8,1,1,0
56,6.4,1,2,0
57,6.4,1,2,0
58,,1,1,0
59,,1,2,0
60,,1,2,0
61,,0,2,0
62,,0,2,0
63,,0,2,0
64,,0,2,0
65,,0,1,0
66,,0,2,0
67,,0,2,0
68,,0,2,0
69,,1,1,0
70,,1,1,0
71,,1,0,0
72,,1,0,0
73,,1,0,0
74,,1,1,0
75,,0,0,0
76,,0,1,0
77,,0,0,0
78,,0,0,0
79,,0,0,0
80,,0,1,0
81,,0,0,0
82,,0,2,0
83,,0,2,0